anio,monto_millones_usd,crecimiento_pct
2002,1579.3918768100002,
2003,2106.50475344,33.374419887143134
2004,2550.62310721,21.083187827833672
2005,2992.82269687,17.336924001433516
2006,3609.8132458699997,20.615673278783618
2007,4128.4076172899995,14.366238253830033
2008,4314.73061565,4.513192873195693
2009,3912.28676604,-9.327206851577053
2010,4126.78406654,5.482657926865442
2011,4378.03196025,6.088224866115977
2012,4782.72868223,9.243804651368738
2013,5105.1889755,6.742182437989541
2014,5544.0975712,8.597303602400208
2015,6284.97781698,13.363405608672196
2016,7159.96756208,13.921922568064705
2017,8192.21307004,14.416902018200318
2018,9287.77072809,13.373158738468337
2019,10508.30741109,13.141330882647662
2020,11340.41559457,7.918574808744472
2021,15295.68521834,34.87764262946285
2022,18040.32108468,17.943856892720934
2023,19804.00205189,9.776328031698567
2024,21510.18634385,8.615351015867878
2025,25530.23224162,18.68903334219314
