fecha,anio,mes_num,mes_nombre,monto_millones_usd
2002-01-01,2002,1,Enero,83.155736
2002-02-01,2002,2,Febrero,96.65938992
2002-03-01,2002,3,Marzo,109.03373626000001
2002-04-01,2002,4,Abril,139.21199062
2002-05-01,2002,5,Mayo,89.75173543000001
2002-06-01,2002,6,Junio,127.97632202
2002-07-01,2002,7,Julio,136.5253673
2002-08-01,2002,8,Agosto,162.30789909
2002-09-01,2002,9,Septiembre,157.33877349000002
2002-10-01,2002,10,Octubre,176.26081158000002
2002-11-01,2002,11,Noviembre,142.97583383
2002-12-01,2002,12,Diciembre,158.19428127
2003-01-01,2003,1,Enero,164.75655235
2003-02-01,2003,2,Febrero,144.74341415
2003-03-01,2003,3,Marzo,160.77810742
2003-04-01,2003,4,Abril,181.08733105000002
2003-05-01,2003,5,Mayo,187.37633512
2003-06-01,2003,6,Junio,161.49457098
2003-07-01,2003,7,Julio,191.95433002000001
2003-08-01,2003,8,Agosto,178.913196
2003-09-01,2003,9,Septiembre,176.55096655
2003-10-01,2003,10,Octubre,189.88092104
2003-11-01,2003,11,Noviembre,173.37562742
2003-12-01,2003,12,Diciembre,195.59340134
2004-01-01,2004,1,Enero,194.74401661000002
2004-02-01,2004,2,Febrero,183.7388576
2004-03-01,2004,3,Marzo,227.89544652
2004-04-01,2004,4,Abril,204.01319284000002
2004-05-01,2004,5,Mayo,210.78039094
2004-06-01,2004,6,Junio,212.12976728
2004-07-01,2004,7,Julio,206.61292897
2004-08-01,2004,8,Agosto,212.78174091999998
2004-09-01,2004,9,Septiembre,211.77724897
2004-10-01,2004,10,Octubre,218.02659243
2004-11-01,2004,11,Noviembre,236.70771818
2004-12-01,2004,12,Diciembre,231.41520595
2005-01-01,2005,1,Enero,209.45040339
2005-02-01,2005,2,Febrero,203.78703772999998
2005-03-01,2005,3,Marzo,246.46605835
2005-04-01,2005,4,Abril,253.08694444999998
2005-05-01,2005,5,Mayo,274.28123586000004
2005-06-01,2005,6,Junio,261.104397
2005-07-01,2005,7,Julio,245.80724609
2005-08-01,2005,8,Agosto,241.92393525
2005-09-01,2005,9,Septiembre,241.58354473
2005-10-01,2005,10,Octubre,278.1504812
2005-11-01,2005,11,Noviembre,265.60739887
2005-12-01,2005,12,Diciembre,271.57401395
2006-01-01,2006,1,Enero,248.90390329
2006-02-01,2006,2,Febrero,254.79453621000002
2006-03-01,2006,3,Marzo,288.96624070999997
2006-04-01,2006,4,Abril,284.44017464
2006-05-01,2006,5,Mayo,361.39108129000005
2006-06-01,2006,6,Junio,310.0966198
2006-07-01,2006,7,Julio,302.88490801999995
2006-08-01,2006,8,Agosto,332.94213971
2006-09-01,2006,9,Septiembre,293.00504495999996
2006-10-01,2006,10,Octubre,338.40660967
2006-11-01,2006,11,Noviembre,294.65141506
2006-12-01,2006,12,Diciembre,299.33057250999997
2007-01-01,2007,1,Enero,287.1009181
2007-02-01,2007,2,Febrero,271.94409605
2007-03-01,2007,3,Marzo,327.63921877999996
2007-04-01,2007,4,Abril,333.62505072000005
2007-05-01,2007,5,Mayo,392.93645908999997
2007-06-01,2007,6,Junio,356.47311421
2007-07-01,2007,7,Julio,381.15177854
2007-08-01,2007,8,Agosto,381.41067864999997
2007-09-01,2007,9,Septiembre,326.75122770999997
2007-10-01,2007,10,Octubre,391.16988283
2007-11-01,2007,11,Noviembre,340.79760367
2007-12-01,2007,12,Diciembre,337.40758894
2008-01-01,2008,1,Enero,314.60669801
2008-02-01,2008,2,Febrero,318.30697029000004
2008-03-01,2008,3,Marzo,340.45948138
2008-04-01,2008,4,Abril,385.2524367
2008-05-01,2008,5,Mayo,397.98287938
2008-06-01,2008,6,Junio,384.33178595
2008-07-01,2008,7,Julio,409.66713542
2008-08-01,2008,8,Agosto,373.53623497
2008-09-01,2008,9,Septiembre,371.835978
2008-10-01,2008,10,Octubre,367.72773959
2008-11-01,2008,11,Noviembre,311.68539059
2008-12-01,2008,12,Diciembre,339.33788537
2009-01-01,2009,1,Enero,290.24034415
2009-02-01,2009,2,Febrero,281.95138419
2009-03-01,2009,3,Marzo,344.14557745999997
2009-04-01,2009,4,Abril,339.68730909
2009-05-01,2009,5,Mayo,332.60333335
2009-06-01,2009,6,Junio,348.57779808
2009-07-01,2009,7,Julio,365.55103039
2009-08-01,2009,8,Agosto,337.44940736
2009-09-01,2009,9,Septiembre,332.10366996
2009-10-01,2009,10,Octubre,327.52311436
2009-11-01,2009,11,Noviembre,287.92833854
2009-12-01,2009,12,Diciembre,324.52545911000004
2010-01-01,2010,1,Enero,246.12931479
2010-02-01,2010,2,Febrero,274.51270028
2010-03-01,2010,3,Marzo,369.95328435000005
2010-04-01,2010,4,Abril,344.40891494
2010-05-01,2010,5,Mayo,357.01719761000004
2010-06-01,2010,6,Junio,394.28971469
