anio,monto_millones_usd,crecimiento_ytd_pct
2002,782.31427755,
2003,1192.19064109,52.392801116147815
2004,1439.91460076,20.778888135165197
2005,1693.98332287,17.64470767751782
2006,2051.47746396,21.103758004200547
2007,2350.87063549,14.594026831378226
2008,2550.60738713,8.49628850795392
2009,2302.75677671,-9.717317203369625
2010,2370.92354626,2.9602244683171186
2011,2524.91895571,6.495165552382276
2012,2782.8952685100003,10.21721161451925
2013,2924.27949653,5.080472471236708
2014,3213.69102562,9.896849101921369
2015,3528.70924347,9.802380357620887
2016,4048.38352651,14.727036068547616
2017,4716.55300395,16.504599257077057
2018,5217.43164542,10.619591066834744
2019,5874.75895011,12.598675926440173
2020,5958.9717580199995,1.4334683112133817
2021,8320.47719353,39.629411438839625
2022,10081.41804108,21.16394056003552
2023,11300.82997015,12.09563896766419
2024,12090.36399231,6.986513594536636
2025,14493.68949466,19.87802438271189
2026,15447.121993020002,6.578259446714929
